"_unit_id"	"_created_at"	"_id"	"_started_at"	"_tainted"	"_channel"	"_trust"	"_worker_id"	"_country"	"_region"	"_city"	"_ip"	"describe_the_situation_in_arabic"	"image_url"	"category"	"label"
627513426	"12/17/2014 14:37:28"	1504700822	"12/17/2014 14:32:22"	"false"	"clixsense"	1	6342275	"EGY"	11	"Cairo"	"41.199.144.160"	"رجل يعتمر قبعة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 13:16:20"	1504659353	"12/17/2014 13:14:40"	"false"	"neodev"	1	30307493	"EGY"	12	"Banha"	"41.232.56.255"	"شاب يرتدى قبعة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 14:24:51"	1504694681	"12/17/2014 14:19:35"	"false"	"neodev"	1	28096293	"EGY"	11	"Cairo"	"105.40.249.42"	"شخص يرتدى قبعة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 15:15:47"	1504720110	"12/17/2014 15:13:57"	"false"	"neodev"	1	29927414	"EGY"	11	"Cairo"	"197.37.28.194"	"شخص يرتدى قبعه"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 13:48:22"	1504676354	"12/17/2014 13:46:51"	"false"	"neodev"	1	29111128	"EGY"	6	"Alexandria"	"197.38.110.40"	"وجه انسان غير كامل لابس طاقية"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 13:46:38"	1504675472	"12/17/2014 13:43:31"	"false"	"clixsense"	1	29857394	"EGY"	11	"Cairo"	"197.162.119.52"	"ولد يرتدي طاقيه"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 13:47:22"	1504675857	"12/17/2014 13:44:49"	"false"	"neodev"	1	28633898	"EGY"	11	"Cairo"	"197.162.119.52"	"ولد يرتدي طاقيه"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 15:00:06"	1504712089	"12/17/2014 14:53:51"	"false"	"neodev"	1	30667945	"EGY"	11	"Cairo"	"41.42.149.226"	"قبعة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	5	
627513427	"12/17/2014 14:39:54"	1504702030	"12/17/2014 14:37:03"	"false"	"neodev"	1	29690962	"EGY"	6	"Alexandria"	"41.129.36.173"	"الكلب يقف يمين المنزل فى الخارج"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"alkhaarej"
627513427	"12/17/2014 13:15:51"	1504659147	"12/17/2014 13:11:23"	"false"	"clixsense"	1	26269850	"EGY"			"41.176.104.206"	"كلب بجانب منزله"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bejaaneb"
